hh_id,age,gender,employment,education,student,num_people,num_surveyable,num_participants,num_adults,num_kids,num_workers,num_students,num_vehicles,num_bicycle,income_detailed,residence_type,residence_rent_own,home_tract_2020,num_jobs,job_type,occupation,industry,work_flex,commute_freq,telework_freq,work_tract_2020,transit_pass_0,transit_pass_1,transit_pass_2,transit_pass_3,transit_pass_4,transit_pass_5,transit_fare_program_1,transit_fare_program_2,transit_fare_program_3,transit_fare_program_4,transit_fare_program_5,transit_fare_program_6,transit_fare_program_7,transit_fare_program_8,limits,can_drive,disability,transit_freq,person_weight
24000124,9,1,2,7,2,2,2,2,2,0,1,0,2,2,12,3,1,17031320101,1,2,19,1,1,4,6,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,794.392
24000140,6,2,1,7,2,2,2,2,2,0,2,0,1,2,9,1,2,17031812600,1,7,24,14,1,5,5,17031812600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,369.37415
24000140,6,1,1,6,2,2,2,2,2,0,2,0,1,2,9,1,2,17031812600,1,3,4,13,0,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,369.37415
24000552,7,2,3,6,2,2,2,2,2,0,2,0,1,0,3,2,3,17031806201,3,3,13,6,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,170.17395
24000552,6,1,3,2,2,2,2,2,2,0,2,0,1,0,3,2,3,17031806201,2,3,6,6,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,170.17395
24000638,6,3,1,6,2,2,1,1,2,0,2,0,2,1,6,3,2,17031150200,1,7,18,7,0,4,5,17031100700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,95.50872
24000760,6,1,1,7,2,2,2,2,2,0,2,0,1,2,10,2,2,17031841100,1,1,8,6,0,2,996,17031811900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361.29773
24000760,6,2,1,6,2,2,2,2,2,0,2,0,1,2,10,2,2,17031841100,1,1,1,11,0,3,6,18089040100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,5,361.29773
24000797,5,2,2,3,4,1,1,1,1,0,1,1,0,0,2,3,3,17031839800,2,1,2,4,0,4,996,17031340600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,2,718.30676
24000824,7,2,1,6,2,1,1,1,1,0,1,0,1,2,9,3,3,17031020301,1,7,8,13,1,5,4,17031020301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,4030.787
24001496,8,1,1,6,2,2,2,2,2,0,2,0,2,2,11,1,2,17031818600,1,7,2,13,1,6,3,17031818600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,218.94025
24001496,8,2,1,6,2,2,2,2,2,0,2,0,2,2,11,1,2,17031818600,1,3,4,7,0,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,8,218.94025
24001758,7,1,1,7,2,2,2,2,2,0,2,0,1,1,10,1,2,17031160700,1,7,1,13,1,4,5,17031320102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,47.607075
24001758,8,2,1,7,2,2,2,2,2,0,2,0,1,1,10,1,2,17031160700,1,7,6,13,0,4,5,17031839100,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,47.607075
24001786,9,1,1,999,2,1,1,1,1,0,1,0,1,0,6,3,3,17031832500,1,1,2,4,0,2,996,17031841000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,997.13165
24001804,10,2,3,6,2,1,1,1,1,0,1,0,1,1,4,3,1,17031819100,1,2,22,16,1,996,4,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,249.03117
24001916,6,2,1,6,2,3,3,2,2,1,2,0,4,4,10,1,2,17031200402,1,7,16,5,1,4,5,17031805105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,412.26733
24001916,6,1,1,7,2,3,3,2,2,1,2,0,4,4,10,1,2,17031200402,1,1,8,20,0,2,996,17031222900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,412.26733
24001948,7,2,1,7,2,6,6,4,4,2,3,0,2,4,10,1,2,17031808500,1,1,11,8,0,2,996,17031081401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,412.93982
24001948,9,2,1,7,2,6,6,4,4,2,3,0,2,4,10,1,2,17031808500,1,3,6,13,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,412.93982
24001948,9,1,2,7,2,6,6,4,4,2,3,0,2,4,10,1,2,17031808500,1,3,24,20,1,995,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,996,412.93982
24001961,8,1,1,7,2,1,1,1,1,0,1,0,1,2,9,3,2,17031030604,1,7,8,6,1,4,5,17031320400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4309.119
24002085,9,2,1,3,2,1,1,1,1,0,1,0,1,4,999,1,2,17031807400,1,7,2,20,0,5,4,17031839100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1808.7476
24002150,9,1,1,7,2,2,2,2,2,0,2,0,2,0,10,2,2,17031818100,1,7,22,13,1,4,5,17097864802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3255.3267
24002150,9,2,2,7,2,2,2,2,2,0,2,0,2,0,10,2,2,17031818100,2,3,18,11,1,995,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,3255.3267
24002158,7,1,1,6,2,2,2,2,2,0,2,0,0,4,10,3,3,17031160800,1,3,24,15,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70.45818
24002158,7,2,1,6,2,2,2,2,2,0,2,0,0,4,10,3,3,17031160800,1,1,2,4,0,2,996,17031830900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,70.45818
24002221,9,1,1,2,2,2,2,2,2,0,1,0,1,0,6,1,1,17031100400,1,1,18,8,0,2,996,17031806900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,126.409386
24002314,6,2,1,6,2,1,1,1,1,0,1,0,0,0,7,3,3,17031062900,1,7,2,20,0,4,5,17031839100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,217.16484
24002554,6,1,1,6,2,1,1,1,1,0,1,0,0,0,10,3,3,17031320101,1,7,22,7,1,5,4,17031839100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,996,1,0,4,629.66016
24002657,9,1,2,6,1,2,2,2,2,0,1,2,2,1,10,7,2,17031150300,1,1,5,14,0,3,996,17031150300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,509.34552
24002753,9,1,1,7,2,2,2,2,2,0,2,0,2,6,12,1,2,17031812200,2,1,8,6,0,2,996,17031812200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,186.9075
24002753,10,2,1,6,2,2,2,2,2,0,2,0,2,6,12,1,2,17031812200,1,2,22,19,1,2,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,186.9075
24002901,8,1,1,6,2,2,2,2,2,0,2,0,1,5,9,1,2,17031805302,3,1,22,7,1,2,9,17031800800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,217.52077
24002901,8,2,1,7,2,2,2,2,2,0,2,0,1,5,9,1,2,17031805302,1,1,24,20,0,2,996,17031800300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,8,217.52077
24003088,5,1,1,6,2,1,1,1,1,0,1,0,1,0,7,3,3,17031805901,1,7,24,16,0,4,5,17031841900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,996,1,0,4,299.17056
24003189,9,2,3,6,2,1,1,1,1,0,1,0,1,2,999,3,2,17031051000,1,2,24,20,998,2,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,996,48.061382
24003228,6,1,1,7,2,2,1,1,2,0,2,0,1,1,7,3,3,17031816000,1,2,11,8,1,5,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,247.67189
24003319,8,2,3,7,2,4,4,2,2,2,2,0,2,4,12,1,1,17031800500,1,3,16,10,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,433.34753
